,loss,accuracy,top_3_accuracy,top_5_accuracy,val_loss,val_accuracy,val_top_3_accuracy,val_top_5_accuracy
0,1.6863709688186646,0.4904358386993408,0.7802642583847046,0.8571845293045044,2.3917832374572754,0.43341439962387085,0.7277237176895142,0.8179231286048889
1,1.0779014825820923,0.6011844873428345,0.9012908339500427,0.9547395706176758,2.515376567840576,0.4361381232738495,0.7372081875801086,0.8229085803031921
2,0.9432921409606934,0.6357054114341736,0.9291115999221802,0.9706970453262329,3.308997392654419,0.44134241342544556,0.7417072057723999,0.8297178745269775
3,0.87879478931427,0.6550523638725281,0.9418071508407593,0.9773120880126953,3.218944549560547,0.4361381232738495,0.746327817440033,0.8268239498138428
4,0.8296560645103455,0.6690295934677124,0.9509916305541992,0.9816309809684753,3.606266736984253,0.4269941747188568,0.7178258895874023,0.7997081875801086
5,0.8009447455406189,0.6778010725975037,0.9556081891059875,0.9840789437294006,3.9835731983184814,0.4400048553943634,0.7446741461753845,0.8203064203262329
6,0.7774950861930847,0.6852543950080872,0.9593074917793274,0.985767662525177,4.028940200805664,0.45328307151794434,0.7413424253463745,0.8197227716445923
7,0.7578852772712708,0.6923431754112244,0.9637661576271057,0.9873226881027222,4.29892110824585,0.43550583720207214,0.7323686480522156,0.8157587647438049
8,0.7442505955696106,0.6976947784423828,0.964446485042572,0.9872680306434631,4.867732524871826,0.42392995953559875,0.7311527132987976,0.8121838569641113
9,0.7339955568313599,0.7018800377845764,0.9668883681297302,0.9879119396209717,5.067861557006836,0.43550583720207214,0.7309581637382507,0.8118190765380859
10,0.7257984280586243,0.7052027583122253,0.9681214690208435,0.9879361987113953,5.270899772644043,0.43489786982536316,0.7340953350067139,0.8119163513183594
11,0.7175920605659485,0.7091025114059448,0.9690265655517578,0.9879119396209717,5.960513591766357,0.42215466499328613,0.7283560037612915,0.8064931631088257
12,0.7028880715370178,0.7139741778373718,0.9714016914367676,0.9890539050102234,6.035802841186523,0.4344601035118103,0.7251702547073364,0.808560311794281
13,0.699317991733551,0.7163978815078735,0.9718268513679504,0.9895459413528442,5.896896839141846,0.4367947578430176,0.7203307151794434,0.8008268475532532
14,0.6888996958732605,0.716640830039978,0.9731571674346924,0.9905542731285095,5.878678798675537,0.4228355884552002,0.7186040878295898,0.8004377484321594
