,Mandarin Garnet
0,https://www.gempundit.com/gemstones/mandarin-garnet/spessartite-gp23610
1,https://www.gempundit.com/gemstones/mandarin-garnet/spessartite-gp62928
2,https://www.gempundit.com/gemstones/mandarin-garnet/spessartite-gp62930
3,https://www.gempundit.com/gemstones/mandarin-garnet/spessartite-gp62931
4,https://www.gempundit.com/gemstones/mandarin-garnet/spessartite-gp62932
5,https://www.gempundit.com/gemstones/mandarin-garnet/spessartite-gp62933
6,https://www.gempundit.com/gemstones/mandarin-garnet/spessartite-gp55252
7,https://www.gempundit.com/gemstones/mandarin-garnet/spessartite-gp62934
