,Insignificant Oil Emerald
0,https://www.gempundit.com/gemstones/insignificant-oil-emerald/emerald-gp114014
1,https://www.gempundit.com/gemstones/insignificant-oil-emerald/emerald-gp62874
2,https://www.gempundit.com/gemstones/insignificant-oil-emerald/emerald-gp47634
