,Ceylon Blue Sapphire
65,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp109060
66,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp67132
67,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-sterling-silver-ring-design-a11
68,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp107994
69,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp67137
70,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-panchdhatu-ring-design-a11
71,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp109083
72,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/purplish-blue-sapphire-gp87365
73,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gold-ring-design-a11
74,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp109476
75,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp107996
76,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp109470
77,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp109435
78,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp77850
79,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp109848
80,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp134665
81,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp134421
82,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp111974
83,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp109849
84,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp109482
85,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp109855
86,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp109434
87,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp108824
88,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-sterling-silver-ring-design-a16
89,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp108875
90,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp108833
91,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-panchdhatu-ring-design-a16
92,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp109052
93,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gold-ring-design-a16
94,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp134782
